country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Spain,0.0375,0.0253,0.0273,0.0292,0.0279,0.0174,0.0148,0.0142,0.019,0.0416,0.0572,0.0644,0.0786,0.0869,0.0818,0.07200000000000001,0.0607,0.0498
Sri Lanka,,,,,,,,0.015,0.015,0.015,0.014,0.0126,0.011,0.0121,0.0116,0.0116,0.0116,0.0116
Sweden,0.0127,0.008490000000000001,0.00939,0.00991,0.0133,0.0031100000000000004,0.008190000000000001,0.00968,0.00904,0.0143,0.0173,0.0153,0.0152,0.0152,0.015,0.0142,0.0131,0.0128
Switzerland,0.00626,0.00579,0.00591,0.0105,0.0125,0.0139,0.0124,0.0112,0.00899,0.0108,0.0148,0.0136,0.0126,0.0136,0.0153,0.0146,0.0154,0.0141
Tajikistan,,,,,,,,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478
Tanzania,0.00903,0.00903,0.009544,0.010058,0.010572,0.011085999999999999,0.0116,0.0110575,0.010514999999999998,0.009972499999999999,0.00943,0.0088875,0.008344999999999998,0.007802499999999999,0.007259999999999998,0.007259999999999998,0.007259999999999998,0.007259999999999998
Thailand,,,,,,,,0.00123,0.00123,0.00123,0.000695,0.000958,0.0007,0.000557,0.000536,0.000598,0.000723,0.000723
Timor-Leste,,,,,,,,,,,,0.00113,0.00113,0.00113,0.00113,0.00113,0.00113,0.00113
Tunisia,,,,,,,0.0153,0.0153,0.0153,0.0131,0.024633333333333333,0.036166666666666666,0.0477,0.0419,0.0419,0.0419,0.0419,0.0419
Turkey,0.00822,0.0107,0.0165,0.0145,0.02,0.0195,0.0128,0.0121,0.0125,0.0177,0.0158,0.0124,0.0109,0.0118,0.0124,0.0137,0.0145,0.0157
Uganda,,,,,,,,,,,0.00646,0.00646,0.00646,0.00646,0.00646,0.00646,0.00646,0.00646
Ukraine,,,,,,,,0.0139,0.0139,0.0139,0.0165,0.0134,0.014,0.0128,0.0119,0.0153,0.0153,0.016
United Arab Emirates,,,,,,,,,,,,,,,,0.0107,0.0107,0.0107
United Kingdom,0.0117,0.00996,0.00959,0.00881,0.008790000000000001,0.00878,0.0107,0.0106,0.0114,0.0169,0.0204,0.0208,0.021,0.0201,0.016,0.0124,0.0103,0.00913
United States,0.00285,0.00351,0.00644,0.007790000000000002,0.00707,0.00593,0.00498,0.00494,0.00688,0.0167,0.0227,0.021,0.0179,0.015,0.0113,0.00829,0.00705,0.00605
Uruguay,,,,,0.00658,0.00658,0.00658,0.00391,0.00241,0.00237,0.00168,0.00125,0.0011,0.00088,0.00106,0.00162,0.00153,0.00145
Vanuatu,,,,,,,,,0.00978,0.00978,0.00978,0.00978,0.00978,0.00978,0.00978,0.00978,0.00978,0.00978
Venezuela,,,,0.014,0.014,0.014,0.0129,0.00835,0.00708,0.00705,0.008440000000000001,0.00851,0.00795,0.00795,0.00795,0.00795,0.00795,0.00795
Vietnam,,,,,,,,,,0.00233,0.00233,0.00233,0.00214,0.0016699999999999998,0.00299,0.00299,0.00299,0.00299
Yemen,,,,,,,,,,,,,0.00547,0.00547,0.00547,0.00547,0.00547,0.00547
Zimbabwe,,,,,,,,,,,,,0.0242,0.0242,0.0242,0.0242,0.0242,0.0242
